state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,st_indicator
16,TRIPURA,sci,198,1.4,0,187,207,,,2,241,,2,244,,2,196.04,198.86,,,2,192.47,,212.27,,0,210.96,196.28,,,0,184.63,,0,203.35,,0
17,MEGHALAYA,sci,192,1.7,0,179,186,,,2,198,,2,227,,2,193.85,191.19,,,0,187.28,,207.91,,0,221.4,196.95,,,0,188.11,,0,215.68,,0
18,ASSAM,sci,202,0.5,0,194,183,,,0,229,,2,245,,2,205.33,200.2,,,0,198.9,,219.61,,0,206.92,198.92,,,0,196.16,,0,200.42,,0
19,WEST BENGAL,sci,205,0.4,0,195,226,,,2,261,,2,252,,2,210.12,201.04,,,0,198.2,,220.77,,0,217.77,194.33,,,0,186.26,,0,197.46,,0
20,JHARKHAND,sci,204,0.4,0,195,190,,,0,216,,2,234,,2,209.43,199.88,,,0,200.28,,214.21,,0,224.87,193.9,,,0,189.29,,0,205.33,,0
21,Odisha,sci,205,0.4,0,196,194,,,0,247,,2,223,,2,205.24,204.52,,,1,198.57,,224.68,,0,227.08,195.35,,,0,185.94,,0,206.22,,0
22,Chhattisgarh,sci,189,0.4,0,181,180,,,1,208,,2,239,,2,189.6,189.04,,,1,184.39,,199.76,,0,218.91,185,,,0,183.52,,0,186.97,,0
23,MADHYA PRADESH,sci,206,0.3,1,210,185,,,0,207,,0,197,,0,205.32,207.18,,,2,204.64,,208.14,,0,225.3,203.17,,,0,184.9,,0,206.32,,0
24,Gujarat,sci,201,0.3,0,182,194,,,2,214,,2,223,,2,199.55,202.16,,,2,195.75,,206.65,,0,215.89,198.25,,,0,192.11,,0,193.39,,0
25,Daman & Diu,sci,204,6.3,1,184,209,,,2,209,,2,225,,2,212.22,194.75,,,0,210.06,,193.48,,2,214.15,183.85,,,0,179.49,,0,203.54,,0
26,Dadra & Nagar Haveli,sci,190,2.9,0,178,171,,,0,248,,2,213,,2,190.05,190.46,,,1,184.12,,205.17,,0,212.53,207,,,0,180.22,,0,194.16,,0
27,Maharashtra,sci,202,0.3,0,181,191,,,2,227,,2,235,,2,200.06,203.25,,,2,194.84,,208.67,,0,210.13,194.88,,,0,185.31,,0,199.39,,0
28,Andhra Pradesh,sci,205,0.4,0,190,180,,,0,225,,2,216,,2,202.86,206.41,,,2,198.09,,214.92,,0,218.74,192.77,,,0,190.16,,0,203.5,,0
29,Karnataka,sci,206,0.4,1,198,197,,,1,216,,2,245,,2,203.92,208.06,,,2,203.67,,208.49,,0,225.7,195.76,,,0,194.03,,0,205.83,,0
30,Goa,sci,230,2.5,2,186,226,,,2,274,,2,254,,2,228.28,231.93,,,2,219.92,,238.98,,0,235.13,257.82,,,2,202.68,,0,221.94,,0
31,Lakshadweep,sci,212,12.7,1,211, ,,,3, ,,3,220,,2,208.07,214.67,,,2,211.54,, ,,3,196, ,,,3,211.27,,2, ,,3
32,Kerala,sci,208,0.4,2,193,196,,,2,245,,2,270,,2,201.03,213.94,,,2,203.49,,218.12,,0,225.77,196.95,,,0,185.04,,0,203.21,,0
33,Tamilnadu,sci,195,0.3,0,185,190,,,2,208,,2,215,,2,190.4,197.96,,,2,194.18,,197.42,,0,199.25,188.53,,,0,182.39,,0,195.76,,0
34,Puducherry,sci,225,2,2,193,202,,,2,232,,2,259,,2,220.41,227.58,,,2,214.58,,231.72,,0,231.36,216.7,,,0,203.05,,0,224.15,,0
